mid,title,introduction,rating,releasedate,url
0,怪物,平静的湖畔小镇，疼爱儿子的单亲妈妈早织（安藤樱 饰）、为学生着想的爽直老师保利 （永山瑛太 饰）以及天真烂漫的孩子们本过着安稳的生活，却因为一次校园冲突，发酵酿成轩然大波，惹起社会与媒体的关注。当事态越见严重，竟在一个暴风雨的清晨，两个孩子双双失去了踪影……,8.6,2023-05-17(戛纳电影节),https://movie.douban.com/subject/35797709/
1,海王2：失落的王国 Aquaman and the Lost Kingdom,曾经不修边幅的亚瑟·库瑞（杰森·莫玛 Jason Momoa 饰），经过了一番磨难和艰苦拼杀之后，终于成为亚特兰蒂斯万众瞩目的海王。如今的他养尊处优，生活富足，与湄拉（安珀·赫德 Amber Heard 饰）婚姻幸福，并且育有一个可爱的儿子。当然高高在上的日子也充满无聊和枯燥，直到某一天，贼心不死的黑蝠鲼（叶海亚·阿卜杜勒-迈丁 Yahya Abdul-Mateen II 饰）找到了传说的黑三叉戟，旋即展开针对亚特兰蒂斯的报复。在冲突中，湄拉遭到重伤。在母亲（妮可·基德曼 Nicole Kidman 饰）的建议下，亚瑟找回了被自己亲手打败并流放的弟弟奥姆王（帕特里克·威尔森 Patrick Wilson 饰）。兄弟二人捐弃前嫌，展开了亚特兰蒂斯的保卫战……,6.4,2023-12-20(中国大陆),https://movie.douban.com/subject/30444942/
2,紫色 The Color Purple,[黑人为王]导演山姆·布里兹·巴扎乌勒将执导华纳音乐剧版[紫色]。该片改编自获托尼奖同名百老汇音乐剧，Marcus Gardley操刀剧本，史蒂文·斯皮尔伯格、奥普拉·温弗瑞、昆西·琼斯担任制作人。原音乐剧改编自艾丽丝·沃克创作同名小说，讲述了从20世纪早期到20世纪中期，美国南部非裔女性西丽的旅程。昆西·琼斯、奥普拉·温弗瑞曾为该音乐舞台剧的制作人，斯皮尔伯格1985年上映作品[紫色]同样为改编自艾丽丝·沃克创作小说。,7.2,2023-10-27(萨凡纳设计学院电影节),https://movie.douban.com/subject/3010390/
3,下一球成名 Next Goal Wins,该片以2013年同名英国纪录片为原型，讲述了美属萨摩亚足球队的故事，这支球队原本被称作世界上最差的球队，却不断努力最终在2014年的世界杯突破了自我。在球队取得佳绩的同时，同名纪录片也获得了英国独立电影奖最佳纪录片奖。,6.9,2023-09-10(多伦多电影节),https://movie.douban.com/subject/34790875/
4,舒克贝塔·五角飞碟,舒克贝塔驾驶着全新装备五角飞碟向宇宙出发冒险，但是当他们回到地球时突发意外，穿越到十年后的魔方市。老鼠们的航空公司已经被捣毁，有一伙自称“极盗团”的老鼠们，正在霸占机场做尽坏事！为了重建自己的家园，舒克贝塔加入极盗团展开了一场卧底行动！这一次坚强勇敢的舒克贝塔该如何应对？,6.3,2023-12-30(中国大陆),https://movie.douban.com/subject/35496650/
5,荒野 황야,在首尔变成一片末日荒野数年后，一名坚韧猎人所亲近的少女被进行人体实验的疯狂医生绑架，他于是前去解救。,5.7,2024-01-26(韩国网络),https://movie.douban.com/subject/35752369/
6,狗神 DogMan,落雨之夜，一辆卡车被警方逼停。驾驶室内坐着一名满身伤痕疲惫不堪的女子，可凑近却发现对方竟是个男人。男人的车上拉着上百条狗，种种诡异情况迫使警方将男人带回警局。男人自称名叫道格（卡莱伯·兰德里·琼斯 Caleb Landry Jones 饰），在他看来，狗如同家人，对人类有着无与伦比的信赖。他出生于一个暴戾的家庭，父亲驯养用于搏杀取乐的狗，他对这个软弱且同情心泛滥的儿子充满鄙夷，甚至将他关在狗笼里自我反省。轰然一枪截断了父子最后的羁绊，也让道格走上了与狗为伴的不归路。此后的岁月，他品味人世苦辣辛酸，曾经渴望爱情，也曾经试图融入社会。但是最后却发现，这个世界没有容纳他的位置。到头来，只有这群忠贞不二的狗狗，给了他最坚实的支撑和勇气……,8.2,2023-12-15(中国大陆),https://movie.douban.com/subject/35736202/
7,养蜂人 The Beekeeper,克莱（杰森·斯坦森 Jason Statham 饰）在乡下养蜂，平静度日。与其交好的房东奶奶帕克（菲利西亚·拉斯海德 Phylicia Rashad 饰），被一场网络诈骗卷走了所有慈善筹款，崩溃自杀。克莱获悉真相后，孤身勇闯诈骗集团复仇。追查中，克莱挖出诈骗团伙背后盘根错节的利益集团，面临疯子特工、权势财团、FBI的接连围剿，游离法律之外的暗卫组织“养蜂人”也牵扯其中，克莱的真实身份也浮出水面。克莱能否凭一己之力对抗滔天罪恶？新的“疯暴”正在袭来……,6.2,2024-01-12(美国/中国大陆),https://movie.douban.com/subject/35579652/
8,三大队,刑侦大队队长程兵（张译 饰）带领的三大队在办理一起恶性案件的过程中导致嫌犯之一意外死亡，被判入狱。出狱后依然坚持以普通人身份追踪在逃嫌犯。影片根据真实事件改编，原载于“网易人间工作室”作者深蓝的《请转告局长，三大队任务完成了》。,7.8,2023-12-15(中国大陆),https://movie.douban.com/subject/35208463/
9,爆裂点 爆裂點,缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,5.8,2023-12-08(中国大陆),https://movie.douban.com/subject/36010136/
10,涉过愤怒的海,老金（黄渤 饰）为供女儿金丽娜（周依然 饰）留学终日捕鱼，却换来女儿身中17刀离奇身亡的死讯，最大嫌疑人则指向她的男友李苗苗（张宥浩 饰）。愤怒的老金踏上跨海寻仇之路，李苗苗却在母亲景岚（周迅 饰）的庇护下不断潜逃……这场人性迷局中，究竟谁能抵达爱与宽恕的彼岸？,7.3,2023-11-25(中国大陆),https://movie.douban.com/subject/33456512/
11,再见，李可乐,为了完成女儿李妍（谭松韵 饰）高三前的小小心愿，父亲李博宇（吴京 饰）决心带着女儿远赴阿勒泰滑雪。却不料李博宇遭遇意外，全力抢救后仍陷入脑死亡的处境，让为妻为母的潘雁秋（闫妮 饰）做出了一个女人最艰难的决定。当家渐渐失温，一只名为可乐的小狗带着倔强闯入了她们的生活，成为母女争执的焦点，也成为苦乐烟火的陪伴。如何在伤痛后放下悔与执？如何在成长中习得爱与勇？当往日的困境重现，她们的人生，又是否有无憾的选择？,6.4,2023-12-01(中国大陆),https://movie.douban.com/subject/35943827/
12,坠落的审判 Anatomie d'une chute,Sandra、Samuel以及他们视力有障碍的儿子Daniel在偏远山区生活了一年。一天，Samuel在房子外面被发现死亡，警方立即展开了涉嫌命案的调查。在不确定的情况下，Sandra被控：这是自杀还是谋杀？一年后，Daniel参加了母亲的审判，这也是对他父母关系的真正剖析。,8.5,2024-03-29(中国大陆),https://movie.douban.com/subject/35633650/
13,枯叶 Kuolleet lehdet,故事讲述两个孤独的人在赫尔辛基的夜晚偶然相遇，并试图找到彼此生命中的第一个，唯一且最终的爱。他们通往这个目标的道路被男人的酗酒、丢失的电话号码、不知道彼此名字或地址，以及生活总倾向于在那些寻求幸福的人的道路上设置障碍所笼罩。,7.9,2024(中国大陆),https://movie.douban.com/subject/35928797/
14,金手指,用100元的投入换来百亿奢靡人生，看穷小子不择手段颠覆规则将财富和权势玩弄于股掌之中！上市公司嘉文集团在短短几年间从默默无名到风生水起，再到没落清盘，市值蒸发超过一百亿。幕后老板程一言（梁朝伟 饰）也从万众瞩目的股民偶像变成人人喊打的过街老鼠。高级调查主任刘启源（刘德华 饰）长达十五年锲而不舍地搜证和跨境调查，消耗超过两亿诉讼费，竟发现局中有局案中有案，牵涉数条人命并波及香港整个上流社会，究竟谁在幕后？谁能逃脱？谁会出局？,6.3,2023-12-30(中国大陆),https://movie.douban.com/subject/35074609/
15,杂种 Bastarden,17世纪中期，丹麦国王弗雷德里克五世为了增加税收，宣布对广袤的日德兰岛荒原进行殖民。但是当地土地贫瘠，强梁横行，数十年来许多征服者都无功而返，甚至命丧他乡。直到名叫路德维格·卡伦（麦斯·米科尔森 Mads Mikkelsen 饰）的士兵站了出来。路德维格出身卑微，饱受轻视，但是他提出用自己退休金来征服荒原，于是终于说服了政府官员。这个坚毅的男人来到充满凶险的陌生之地，经过一番辛苦和博弈终于建立起了国王之家。然而当地的地头蛇并不会轻易将到嘴边的土地让给这个外来户，因此威逼利诱要路德维格就范。双方互不让步，争斗在所难免……本片荣获第36届欧洲电影奖最佳男主角。,8.2,2023-09-01(威尼斯电影节),https://movie.douban.com/subject/35699773/
16,花月杀手 Killers of the Flower Moon,印第安人的一支欧塞奇族，从祖先的土地上被驱逐到了美国俄克拉何马州一块贫瘠之地，谁曾想这里居然发现了石油。欧塞奇人借此一跃成为时尚新贵的同时，也给自身带来了杀机。在此之后，许多白人涌入这片流淌着黑金的土地，不择手段攫取利益。一战退伍兵欧内斯特（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）为了生计辗转来此，投奔已经贵为名流舅舅威廉·黑尔（罗伯特·德尼罗 Robert De Niro 饰）。威廉和原住民关系密切，黑白通吃，然而和善的外表下包藏着贪婪的蛇蝎之心。他暗示欧内斯特追求富有的印第安女子莫莉（莉莉·格莱斯顿 Lily Gladstone 饰），而真正觊觎的则是她们家族所拥有的财富。短短数年间，数十名印第安人意外身亡。君子无罪，怀璧其罪……本片根据大卫·格兰的畅销著作改编。,7.3,2023-05-20(戛纳国际电影节),https://movie.douban.com/subject/26745332/
